
Raj Patel,DEVELOPMENT TEAM UBISOFT TORONTO,BRAND MANAGER
Julie Quach,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCT MANAGER
Alexander Piilo,DEVELOPMENT TEAM UBISOFT TORONTO,PRODUCT COORDINATOR
Danielle Engels,DEVELOPMENT TEAM UBISOFT TORONTO,PROJECT MANAGER
Matthew Mackillop,DEVELOPMENT TEAM UBISOFT TORONTO,VIDEO EDITOR
Latham Bromwich ,DEVELOPMENT TEAM UBISOFT TORONTO,WEB DEVELOPER
Daniel Natapov ,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH DIRECTOR
Ahmed Ghoneim,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH MANAGER
Courtney Gray ,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH ANALYSTS
Elise Bisson ,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH ANALYSTS
Tom Hall,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH ANALYSTS
Karena Cooper,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH MODERATORS
Claire Hoon,DEVELOPMENT TEAM UBISOFT TORONTO,USER RESEARCH MODERATORS
Kevin Liu,DEVELOPMENT TEAM UBISOFT TORONTO,GAME INTELLIGENCE ANALYST
Aiko Sugano ,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Andrew Grant,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Bluecoats ,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Brent Mitchell,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Cassandra Mcwade,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Chelsea O'Hara,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Christian Savoie,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Colin Searle,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Craig Alguire,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Dae Hyun LEE,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Daniel Cox,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
David Glasgow,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Dibyendu DAS,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Emer Connon,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Gabriela Middlebrook,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
George Elliott ,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Grace Kumaga,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Hiro Kobota ,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Jae Korim ,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
James Everett,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Jeff Wolpert,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
Jeffrey Charles Goslan,DEVELOPMENT TEAM UBISOFT TORONTO,SPECIAL THANKS
